N-Number,Serial Number,MFR MDL Code,Eng MFR Code,Year MFR,Type Registrant,Name,Street 1,Street2,City,State,ZIP,Region,County ,Country,Last Activity Date,Cert Issue Date,Certification Requested ,Type Aircraft,Type Engine,Status Code,Mode S Code,Fractional  Ownership,Airworthiness Date,Other Name 1,Other Name 2,Other Name 3,Other Name 4,Other Name 5,Expiration Date,Unique ID,Kit MFR Code,Kit Model,Mose S Code Hex
638SW,27711,138447K,13802,1996,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20150727,19961105,"1T        ",5,5,"V ",52056431," ",19961004,NULL,NULL,NULL,NULL,NULL,20181130,985861,"    ",NULL,NULL
971AA,15065572,2071816,17020,1966,NULL,"BEVINS MICHAEL T                                  ","17034 W ZUNI ST                  ","                                 ","GOODYEAR          ",AZ,853387446,4,13,US,20141209,20141209,37,4,8,"V ",53303535," ",19661111,NULL,NULL,NULL,NULL,NULL,20171231,732742,"    ",NULL,NULL
559WN,30249,1384540,13044,2002,NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC U1228-051                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20151209,20151209,"1T        ",5,5,"V ",51621333," ",20141125,NULL,NULL,NULL,NULL,NULL,20181231,1093688,"    ",NULL,NULL
14558,145598,3260212,"     ","    ",NULL,"WELLS FARGO BANK NORTHWEST NA TRUSTEE             ","299 S MAIN ST 5TH FLOOR          ","MAC: U1228-51                    ","SALT LAKE CITY    ",UT,84111,S,35,US,20150129,20020529,"          ",5,5,25,50134153," ","        ",NULL,NULL,NULL,NULL,NULL,20170430,267301,"    ",NULL,NULL
760SW,27874,1384404,30016,2000,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DR # HDQ-4GC     ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160830,20000316,"1T        ",5,5,"V ",52441455," ",20070507,NULL,NULL,NULL,NULL,NULL,20191231,583747,"    ",NULL,NULL
797SK,10301,1390015,30052,2010,NULL,"SKYWEST AIRLINES INC                              ","444 S RIVER RD                   ","                                 ","ST GEORGE         ",UT,847902085,S,53,US,20160810,20100201,"1T        ",5,5,"V ",52551640," ",20100205,NULL,NULL,NULL,NULL,NULL,20191231,1048401,"    ",NULL,NULL
7744A,33931,1384511,13044,2007,NULL,"SOUTHWEST AIRLINES CO                             ","2702 LOVE FIELD DRIVE # HDQ 4GC  ","                                 ","DALLAS            ",TX,752351908,2,113,US,20160526,20130911,"1T        ",5,5,"V ",52475310," ",20130812,NULL,NULL,NULL,NULL,NULL,20190930,324459,"    ",NULL,NULL
904EV,7628,1390008,30015,2002,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR-MAINTENANCE        ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20160811,20020327,"1T        ",5,5,"V ",53077200," ",20020327,NULL,NULL,NULL,NULL,NULL,20191130,654177,"    ",NULL,NULL
905EV,7632,1390008,30015,2002,NULL,"EXPRESSJET AIRLINES INC                           ","ATTN DIRECTOR-MAINTENANCE        ","990 TOFFIE TER                   ","ATLANTA           ",GA,303541363,7,121,US,20161003,20020404,"1T        ",5,5,"V ",53101067," ",20020404,NULL,NULL,NULL,NULL,NULL,20200131,483966,"    ",NULL,NULL
679AA,"                              ","       ","     ","    ",NULL,"CANCELLED/NOT ASSIGNED                            ","                                 ","                                 ","                  ","  ","          "," ","   ","  ","        ","        ","          "," ","  ",5,52176450," ","        ",NULL,NULL,NULL,NULL,NULL,"        ","        ","    ",NULL,NULL
